candidate,reference
"She promised to return the book tomorrow.","She assured them she would bring the book back the next day."
"The class voted to change the presentation date.","The students collectively decided to reschedule the presentation."
"He spilled coffee on his laptop.","His laptop got coffee spilled on it."
"Police are searching for the missing hiker.","Authorities are looking for the hiker who disappeared."
"The temperature dropped suddenly last night.","The weather became noticeably colder overnight."
"They repaired the bridge after the storm damaged it.","The bridge was fixed after it was destroyed by the storm."
"He forgot to set an alarm and overslept.","He overslept because he didn’t set his alarm."
"The singer released a new album today.","A new album by the singer was launched today."
"The child fell asleep during the movie.","The child dozed off in the middle of the film."
"The city hosted a marathon last weekend.","A marathon event took place in the city last weekend."
"She recycled all the plastic bottles at home.","She put every plastic bottle in the recycling bin."
"The airport installed more security scanners.","Additional security machines were set up at the airport."
"The scientist published a paper on climate change.","A research paper on climate change was released by the scientist."
"He registered for the online course last night.","He signed up for the web-based course yesterday evening."
"The library will reopen after renovation next month.","After renovation, the library is scheduled to reopen next month."
"The bakery sells fresh bread every morning.","The bakery offers newly baked bread each morning."
"She forgot her umbrella and got wet in the rain.","She didn't bring her umbrella and ended up getting soaked."
"The concert tickets sold out in minutes.","All concert tickets were purchased within a few minutes."
"The police are investigating the cause of the fire.","Authorities are looking into what caused the fire."
"He couldn't attend the meeting because he was sick.","He missed the meeting due to illness."
"The phone's camera quality has improved with the update.","The latest update upgraded the phone camera’s quality."
"Tourists visited the ancient ruins throughout the summer.","All summer long, tourists came to see the ancient ruins."
"She left a note before going out.","She wrote a message and left it before leaving the house."
"The team trained every day before the tournament.","Daily practice sessions were held by the team ahead of the tournament."
"The shop owner raised the prices after demand increased.","The prices went up because more customers were buying the products."
"He lost his keys while jogging in the park.","His keys went missing when he was running in the park."
"The actor received an award for best performance.","The actor won an award for delivering the best performance."
"She misplaced her glasses again.","She once again couldn’t find where she put her glasses."
"The event was cancelled due to lack of funding.","The event could not take place because there was no funding."
"The laptop overheated after running too many programs.","Too many applications running at once caused the laptop to overheat."
"The baby started walking at eleven months.","The child took their first steps at eleven months old."
"He replaced the old lightbulb with a new one.","The old bulb was removed and a new one was installed."
"The school introduced a new dress code.","A new uniform policy was implemented at the school."
"She always forgets her passwords.","She consistently fails to remember her passwords."
"The package arrived earlier than expected.","The delivery showed up sooner than planned."
"He recorded the lecture for later review.","He made an audio recording of the lecture to listen to later."
"The storm damaged several houses along the coast.","Many coastal houses were harmed by the storm."
"The dog escaped through an open gate.","The dog got out because the gate had been left open."
"She bought a gift for her friend's birthday.","A birthday present was purchased for her friend."
"Workers are repairing the road this week.","Road repairs are being carried out by workers this week."
"He donated blood at the hospital.","He gave blood during a hospital donation drive."
"The teacher uploaded the notes to the online portal.","The teacher posted the class notes on the website."
"She backed up all her files to the cloud.","She saved copies of her files to cloud storage."
"The bus was completely full during rush hour.","There were no seats left on the bus at rush hour."
"He found a wallet on the street and returned it.","A wallet he found on the street was returned to its owner."
"The nurse checked his blood pressure twice.","His blood pressure was measured two times by the nurse."
"The football team hired a new coach.","A new coach has been appointed to lead the football team."
"She ordered the wrong size and had to return it.","She sent the item back because she ordered the wrong size."
"The website crashed because too many users logged in at once.","A surge of users caused the website to go offline."
"He stayed up late finishing the assignment.","He worked on the assignment until very late at night."
"The neighbours complained about the loud music.","The neighbours filed a complaint because the music was too loud."
"The festival attracted thousands of visitors.","Thousands of people attended the festival."
"He subscribed to a monthly streaming service.","He signed up for a streaming subscription that renews every month."
"The truck delivered supplies to the supermarket.","A shipment of supplies was dropped off at the supermarket by truck."
"She tested positive for the flu and was told to rest.","She was diagnosed with the flu and advised to rest."
"The bridge was closed for safety inspections.","A safety inspection led to the temporary closure of the bridge."
"He forgot to charge his phone before sleeping.","He went to bed without plugging in his phone."
"The artist exhibited her paintings in a local gallery.","Her artwork was displayed at a gallery in town."
"The city is building a new bike lane downtown.","A new bike lane is under construction in the city center."
